event_id,timestamp_utc,source,event_type,severity,confidence,user,host_or_asset,src_ip,dest_ip,dest_domain,action,outcome,message,entity,is_external_src_ip
EVT-00149,2026-01-19T22:58:23Z,AzureAD,Role.Assignment,Medium,0.55,f.robinson,CorpNet,172.28.73.159,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00150,2026-01-19T23:01:47Z,EmailGateway,URL.Rewrite,Informational,0.49,k.brown,WS-082,192.0.2.167,,gmail.com,Inbound,Delivered,Security-relevant event observed.,user,1
EVT-00151,2026-01-19T23:02:13Z,Proxy,TLS.SNI.Mismatch,High,0.46,f.robinson,SRV-086,192.168.72.235,203.0.113.80,zoom.us,GET,Allowed,Security-relevant event observed.,user,0
EVT-00152,2026-01-19T23:02:34Z,EmailGateway,URL.Rewrite,Low,0.79,it-admin,WS-092,203.0.113.62,,vendor.example,Inbound,Delivered,Security-relevant event observed.,privileged_user,1
EVT-00153,2026-01-19T23:10:00Z,CloudTrail,AccessKey.Created,High,0.89,svc-deploy,AWS,192.0.2.44,,,Cloud,Success,New access key created outside change window; source IP not in allowlist.,service_account,1
EVT-00154,2026-01-19T23:12:48Z,Okta,Policy.Change,High,0.59,d.miller,O365,198.51.100.8,,,Auth,Success,Security-relevant event observed.,user,1
EVT-00155,2026-01-19T23:12:54Z,AzureAD,AppConsent.Granted,Informational,0.72,svc-deploy,Azure,10.48.0.55,,,Auth,Success,Security-relevant event observed.,service_account,0
EVT-00156,2026-01-19T23:13:34Z,AzureAD,Signin.Success,Low,0.51,svc-ci,AWS,172.30.90.246,,,Auth,Success,Cloud sign-in successful.,service_account,0
EVT-00157,2026-01-19T23:14:00Z,CloudTrail,S3.GetObject,Medium,0.74,svc-deploy,AWS,192.0.2.44,,,Cloud,Success,Burst of S3 object reads from sensitive bucket 'finance-exports'.,service_account,1
EVT-00158,2026-01-19T23:14:08Z,Okta,Policy.Change,Informational,0.7,e.wilson,AWS,172.21.189.227,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00159,2026-01-19T23:14:59Z,EmailGateway,URL.Rewrite,Medium,0.47,it-admin,DC-148,203.0.113.97,,proton.me,Inbound,Delivered,Security-relevant event observed.,privileged_user,1
EVT-00160,2026-01-19T23:17:00Z,CloudTrail,S3.GetObject,Medium,0.74,svc-deploy,AWS,192.0.2.44,,,Cloud,Success,Burst of S3 object reads from sensitive bucket 'finance-exports'.,service_account,1
EVT-00161,2026-01-19T23:17:45Z,DNS,TXT.Query,Informational,0.56,e.wilson,MAIL-177,203.0.113.167,,intranet.corp.local,Query,NXDOMAIN,Security-relevant event observed.,user,1
EVT-00162,2026-01-19T23:17:55Z,EDR,USB.Mount,Medium,0.47,d.miller,DB-084,172.16.188.52,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00163,2026-01-19T23:20:00Z,CloudTrail,S3.GetObject,Medium,0.74,svc-deploy,AWS,192.0.2.44,,,Cloud,Success,Burst of S3 object reads from sensitive bucket 'finance-exports'.,service_account,1
EVT-00164,2026-01-19T23:23:00Z,CloudTrail,S3.GetObject,Medium,0.74,svc-deploy,AWS,192.0.2.44,,,Cloud,Success,Burst of S3 object reads from sensitive bucket 'finance-exports'.,service_account,1
EVT-00165,2026-01-19T23:23:52Z,EmailGateway,DMARC.Fail,Informational,0.88,r.kim,VDI-042,198.51.100.226,,proton.me,Inbound,Delivered,Security-relevant event observed.,user,1
EVT-00166,2026-01-19T23:26:35Z,Firewall,Connection.Denied,Informational,0.33,n.davis,O365,203.0.113.115,203.0.113.97,,Network,Blocked,Connection denied by firewall policy.,user,1
EVT-00167,2026-01-19T23:26:53Z,O365,File.Download,Low,0.56,svc-backup,O365,192.168.78.184,,,Access,Success,Security-relevant event observed.,service_account,0
EVT-00168,2026-01-19T23:28:40Z,EDR,Exploit.Prevention,Informational,0.61,o.martin,MAIL-099,192.0.2.252,10.64.169.223,,Endpoint,Observed,Security-relevant event observed.,user,1
EVT-00169,2026-01-19T23:30:04Z,AzureAD,Signin.Failed,Medium,0.77,t.jones,Azure,172.23.254.234,,,Auth,Failure,Cloud sign-in failed.,user,0
EVT-00170,2026-01-19T23:38:34Z,Okta,Login.Failed,Medium,0.67,p.singh,O365,192.0.2.153,10.79.80.194,,Auth,Failure,Authentication failed (bad credentials or policy).,user,1
EVT-00171,2026-01-19T23:40:27Z,Proxy,URL.Blocked,Medium,0.43,o.martin,WS-192,172.23.35.200,192.0.2.11,microsoft.com,GET,Allowed,Web request blocked by policy.,user,0
EVT-00172,2026-01-19T23:44:22Z,EDR,Exploit.Prevention,Medium,0.64,k.brown,DB-009,172.18.224.222,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00173,2026-01-19T23:44:45Z,EmailGateway,Outbound.Spam,Informational,0.35,c.taylor,API-180,172.24.118.31,,vendor.example,Outbound,Delivered,Security-relevant event observed.,user,0
EVT-00174,2026-01-19T23:54:00Z,EmailGateway,DMARC.Fail,Informational,0.4,svc-deploy,LAP-114,172.16.23.84,,proton.me,Inbound,Delivered,Security-relevant event observed.,service_account,0
EVT-00175,2026-01-19T23:54:15Z,Firewall,PortScan.Detected,High,0.43,c.taylor,Azure,203.0.113.179,192.0.2.185,,Network,Blocked,Potential port scanning activity detected.,user,1
EVT-00176,2026-01-19T23:58:39Z,O365,File.Download,Medium,0.44,n.davis,CorpNet,203.0.113.140,,onedrive.com,Access,Success,Security-relevant event observed.,user,1
EVT-00177,2026-01-20T00:00:20Z,EDR,USB.Mount,Informational,0.94,d.miller,DB-152,192.168.37.80,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00178,2026-01-20T00:03:12Z,VPN,VPN.Connect,Informational,0.46,s.nguyen,SRV-193,192.168.196.90,,,Auth,Success,VPN session established.,user,0
EVT-00179,2026-01-20T00:07:44Z,Okta,MFA.Challenge,High,0.51,c.taylor,CorpNet,172.22.122.147,,,Auth,Success,MFA challenge initiated.,user,0
EVT-00180,2026-01-20T00:10:28Z,Firewall,Connection.Denied,Medium,0.45,l.garcia,Azure,172.18.222.52,192.0.2.38,,Network,Blocked,Connection denied by firewall policy.,user,0
EVT-00181,2026-01-20T00:11:17Z,VPN,VPN.Connect,Informational,0.74,b.harris,VDI-014,192.168.20.224,192.168.111.123,,Auth,Success,VPN session established.,user,0
EVT-00182,2026-01-20T00:15:16Z,EDR,USB.Mount,Medium,0.7,v.ali,WS-144,172.16.202.66,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00183,2026-01-20T00:15:35Z,EDR,Exploit.Prevention,Low,0.47,e.wilson,SRV-130,192.0.2.77,,,Endpoint,Observed,Security-relevant event observed.,user,1
EVT-00184,2026-01-20T00:18:59Z,VPN,VPN.Failed,Informational,0.7,h.lee,DC-028,192.168.183.148,,,Auth,Failure,VPN authentication failed.,user,0
EVT-00185,2026-01-20T00:21:58Z,Proxy,URL.Blocked,Low,0.61,v.ali,DB-174,10.226.176.253,192.0.2.77,zoom.us,GET,Allowed,Web request blocked by policy.,user,0
EVT-00186,2026-01-20T00:24:16Z,CloudTrail,S3.PutObject,High,0.38,g.thomas,CorpNet,198.51.100.206,,,Cloud,Success,Security-relevant event observed.,user,1
EVT-00187,2026-01-20T00:26:05Z,Proxy,URL.Blocked,Informational,0.63,j.smith,SRV-176,192.168.20.56,203.0.113.38,microsoft.com,POST,Allowed,Web request blocked by policy.,user,0
EVT-00188,2026-01-20T00:34:28Z,EmailGateway,Phish.Detected,Medium,0.69,a.chen,LAP-004,10.30.203.130,,corp.local,Inbound,Delivered,Phishing email detected by gateway.,user,0
EVT-00189,2026-01-20T00:39:35Z,Okta,Login.Failed,Low,0.72,sec-admin,O365,192.168.30.233,,,Auth,Failure,Authentication failed (bad credentials or policy).,privileged_user,0
EVT-00190,2026-01-20T00:40:59Z,EDR,LateralMovement.Suspected,Low,0.61,d.miller,MAIL-108,192.168.112.125,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00191,2026-01-20T00:44:46Z,Firewall,DataTransfer.Large,Medium,0.39,f.robinson,CorpNet,192.168.124.9,192.0.2.243,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00192,2026-01-20T00:47:47Z,AzureAD,Signin.Success,Informational,0.65,a.chen,CorpNet,192.168.140.138,,,Auth,Success,Cloud sign-in successful.,user,0
EVT-00193,2026-01-20T00:48:54Z,CloudTrail,S3.GetObject,Low,0.67,e.wilson,Azure,203.0.113.153,,,Cloud,Success,Security-relevant event observed.,user,1
EVT-00194,2026-01-20T00:55:41Z,EDR,Malware.Detected,Medium,0.52,k.brown,VDI-006,10.169.103.207,192.168.90.236,,Endpoint,Detected,Malware detection on endpoint.,user,0
EVT-00195,2026-01-20T01:12:04Z,Okta,Login.Failed,Medium,0.49,l.garcia,O365,172.31.240.74,,,Auth,Failure,Authentication failed (bad credentials or policy).,user,0
EVT-00196,2026-01-20T01:15:24Z,DNS,DGA.Suspected,Informational,0.56,d.miller,SRV-055,172.22.115.36,172.19.19.170,zoom.us,Query,Resolved,Security-relevant event observed.,user,0
EVT-00197,2026-01-20T01:15:46Z,EDR,Malware.Detected,Medium,0.84,k.brown,WS-121,10.91.18.142,,,Endpoint,Detected,Malware detection on endpoint.,user,0
EVT-00198,2026-01-20T01:17:56Z,EDR,Malware.Detected,Low,0.53,e.wilson,API-139,198.51.100.195,,,Endpoint,Detected,Malware detection on endpoint.,user,1
EVT-00199,2026-01-20T01:25:19Z,Okta,Login.Failed,Medium,0.53,k.brown,AWS,192.168.117.151,,,Auth,Failure,Authentication failed (bad credentials or policy).,user,0
EVT-00200,2026-01-20T01:26:16Z,DNS,TXT.Query,Informational,0.5,v.ali,WS-053,10.147.224.226,,github.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00201,2026-01-20T01:28:40Z,VPN,VPN.NewDevice,Low,0.7,i.clark,LAP-002,192.168.191.144,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00202,2026-01-20T01:29:33Z,Proxy,TLS.SNI.Mismatch,Medium,0.62,a.chen,WS-123,203.0.113.176,198.51.100.126,okta.com,GET,Allowed,Security-relevant event observed.,user,1
EVT-00203,2026-01-20T01:31:15Z,Okta,Policy.Change,Medium,0.37,e.wilson,Azure,192.168.137.188,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00204,2026-01-20T01:33:14Z,CloudTrail,CloudWatch.AlarmDisabled,Low,0.52,i.clark,Azure,192.0.2.224,,,Cloud,Success,Security-relevant event observed.,user,1
EVT-00205,2026-01-20T01:34:11Z,DNS,TXT.Query,Medium,0.59,i.clark,LAP-033,192.0.2.19,,github.com,Query,Resolved,Security-relevant event observed.,user,1
EVT-00206,2026-01-20T01:37:44Z,EDR,Ransomware.Blocked,Medium,0.62,d.miller,LAP-035,10.79.139.73,,,Endpoint,Blocked,Security-relevant event observed.,user,0
EVT-00207,2026-01-20T01:42:53Z,AzureAD,ImpossibleTravel,Low,0.38,e.wilson,O365,172.30.50.206,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00208,2026-01-20T01:49:48Z,Okta,Login.Success,Informational,0.83,f.robinson,AWS,192.0.2.83,,,Auth,Success,User authenticated successfully.,user,1
EVT-00209,2026-01-20T01:49:57Z,Proxy,Download,Informational,0.71,d.miller,VDI-025,192.168.251.40,198.51.100.93,jira.corp.local,GET,Allowed,File downloaded via web proxy.,user,0
EVT-00210,2026-01-20T01:50:03Z,Proxy,URL.Allowed,Informational,0.41,s.nguyen,WS-034,10.165.8.45,203.0.113.14,zoom.us,GET,Allowed,Web request allowed.,user,0
EVT-00211,2026-01-20T01:52:40Z,Okta,Login.Success,Low,0.74,l.garcia,CorpNet,192.168.10.220,,,Auth,Success,User authenticated successfully.,user,0
EVT-00212,2026-01-20T01:54:40Z,DNS,TXT.Query,Low,0.39,k.brown,VDI-118,172.22.57.9,,microsoft.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00213,2026-01-20T01:59:45Z,EDR,Malware.Detected,Medium,0.4,f.robinson,DB-131,192.168.233.244,,,Endpoint,Detected,Malware detection on endpoint.,user,0
EVT-00214,2026-01-20T02:05:08Z,AzureAD,Token.Anomaly,Medium,0.43,b.harris,Azure,10.33.158.102,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00215,2026-01-20T02:05:33Z,EDR,USB.Mount,Medium,0.59,h.lee,SRV-158,172.16.155.74,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00216,2026-01-20T02:07:14Z,O365,File.Download,Critical,0.44,s.nguyen,CorpNet,10.62.6.16,,onedrive.com,Access,Success,Security-relevant event observed.,user,0
EVT-00217,2026-01-20T02:07:42Z,EDR,Ransomware.Blocked,Informational,0.54,b.harris,API-172,172.29.26.248,,,Endpoint,Blocked,Security-relevant event observed.,user,0
EVT-00218,2026-01-20T02:13:52Z,O365,File.Download,Informational,0.81,s.nguyen,Azure,192.168.115.164,,office.com,Access,Success,Security-relevant event observed.,user,0
EVT-00219,2026-01-20T02:21:08Z,EDR,Process.Suspicious,Low,0.65,l.garcia,WS-064,10.184.101.71,,,Endpoint,Observed,Suspicious process behavior observed.,user,0
EVT-00220,2026-01-20T02:23:43Z,AzureAD,Signin.Failed,Informational,0.47,o.martin,CorpNet,10.220.181.109,,,Auth,Failure,Cloud sign-in failed.,user,0
EVT-00221,2026-01-20T02:27:50Z,DNS,NXDOMAIN,Low,0.43,o.martin,SRV-143,172.20.95.81,,intranet.corp.local,Query,Resolved,Security-relevant event observed.,user,0
EVT-00222,2026-01-20T02:31:40Z,EDR,USB.Mount,Informational,0.59,p.singh,LAP-139,198.51.100.253,,,Endpoint,Observed,Security-relevant event observed.,user,1
EVT-00223,2026-01-20T02:34:13Z,Firewall,DataTransfer.Large,Informational,0.89,f.robinson,O365,192.0.2.11,198.51.100.21,,Network,Blocked,Security-relevant event observed.,user,1
EVT-00224,2026-01-20T02:34:21Z,EDR,Process.Suspicious,Informational,0.55,h.lee,LAP-152,172.20.121.75,,,Endpoint,Observed,Suspicious process behavior observed.,user,0
EVT-00225,2026-01-20T02:37:22Z,DNS,NXDOMAIN,Medium,0.47,r.kim,DC-024,198.51.100.40,,jira.corp.local,Query,Resolved,Security-relevant event observed.,user,1
EVT-00226,2026-01-20T02:41:11Z,Firewall,DataTransfer.Large,High,0.69,h.lee,AWS,192.168.123.146,203.0.113.174,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00227,2026-01-20T02:43:17Z,CloudTrail,S3.PutObject,Low,0.44,d.miller,O365,192.168.0.243,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00228,2026-01-20T02:44:37Z,EDR,Process.Suspicious,Low,0.58,c.taylor,LAP-062,10.191.72.131,,,Endpoint,Observed,Suspicious process behavior observed.,user,0
EVT-00229,2026-01-20T02:46:52Z,EmailGateway,Attachment.Blocked,Medium,0.75,svc-ci,WS-187,192.168.107.113,,gmail.com,Outbound,Delivered,Security-relevant event observed.,service_account,0
EVT-00230,2026-01-20T02:48:36Z,Okta,Login.Success,Medium,0.62,k.brown,O365,192.0.2.221,,,Auth,Success,User authenticated successfully.,user,1
EVT-00231,2026-01-20T02:50:52Z,EmailGateway,Outbound.Spam,Informational,0.65,e.wilson,WS-175,192.0.2.227,,proton.me,Inbound,Delivered,Security-relevant event observed.,user,1
EVT-00232,2026-01-20T02:52:12Z,Firewall,Connection.Allowed,Informational,0.33,m.patel,CorpNet,192.168.119.250,198.51.100.26,,Network,Allowed,Connection allowed by firewall policy.,user,0
EVT-00233,2026-01-20T02:53:06Z,Okta,MFA.Failed,Low,0.51,b.harris,CorpNet,172.18.55.197,,,Auth,Failure,MFA denied or timed out.,user,0
EVT-00234,2026-01-20T03:02:38Z,AzureAD,Token.Anomaly,Medium,0.68,v.ali,CorpNet,192.168.242.204,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00235,2026-01-20T03:02:38Z,Firewall,DataTransfer.Large,Low,0.67,c.taylor,O365,198.51.100.195,203.0.113.132,,Network,Blocked,Security-relevant event observed.,user,1
EVT-00236,2026-01-20T03:02:55Z,Okta,Policy.Change,Low,0.42,h.lee,O365,10.253.197.29,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00237,2026-01-20T03:03:16Z,EmailGateway,DMARC.Fail,Informational,0.72,s.nguyen,SRV-080,10.159.192.102,,vendor.example,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00238,2026-01-20T03:05:11Z,Firewall,Connection.Allowed,High,0.66,g.thomas,Azure,172.25.82.11,192.0.2.128,,Network,Allowed,Connection allowed by firewall policy.,user,0
EVT-00239,2026-01-20T03:06:04Z,Firewall,Connection.Allowed,Low,0.57,d.miller,CorpNet,172.17.171.17,203.0.113.25,,Network,Allowed,Connection allowed by firewall policy.,user,0
EVT-00240,2026-01-20T03:09:12Z,EDR,Exploit.Prevention,Low,0.67,h.lee,API-111,10.132.113.131,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00241,2026-01-20T03:09:27Z,EDR,Exploit.Prevention,Informational,0.49,t.jones,DC-127,198.51.100.193,,,Endpoint,Observed,Security-relevant event observed.,user,1
EVT-00242,2026-01-20T03:11:10Z,DNS,TXT.Query,Informational,0.4,h.lee,MAIL-123,10.102.191.244,172.22.9.174,microsoft.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00243,2026-01-20T03:12:27Z,DNS,DGA.Suspected,Low,0.51,m.patel,API-056,10.185.50.252,,intranet.corp.local,Query,Resolved,Security-relevant event observed.,user,0
EVT-00244,2026-01-20T03:15:09Z,Okta,Policy.Change,Informational,0.69,p.singh,AWS,10.124.223.151,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00245,2026-01-20T03:17:55Z,EDR,Process.Suspicious,Informational,0.53,g.thomas,LAP-175,172.29.27.223,,,Endpoint,Observed,Suspicious process behavior observed.,user,0
EVT-00246,2026-01-20T03:20:32Z,AzureAD,Token.Anomaly,Low,0.66,s.nguyen,CorpNet,192.168.51.237,10.146.176.225,,Auth,Success,Security-relevant event observed.,user,0
EVT-00247,2026-01-20T03:23:13Z,Firewall,DataTransfer.Large,Low,0.43,j.smith,Azure,192.168.38.41,198.51.100.105,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00248,2026-01-20T03:25:53Z,Okta,Password.Reset,Informational,0.66,sec-admin,CorpNet,192.168.165.222,,,Auth,Success,Security-relevant event observed.,privileged_user,0
EVT-00249,2026-01-20T03:28:53Z,Firewall,DataTransfer.Large,High,0.99,r.kim,AWS,172.27.30.159,192.0.2.171,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00250,2026-01-20T03:33:21Z,CloudTrail,IAM.PolicyChange,Low,0.7,o.martin,O365,172.19.82.85,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00251,2026-01-20T03:35:53Z,EmailGateway,Attachment.Blocked,Informational,0.5,it-admin,DC-142,192.0.2.3,192.168.76.140,proton.me,Inbound,Delivered,Security-relevant event observed.,privileged_user,1
EVT-00252,2026-01-20T03:38:25Z,EDR,Exploit.Prevention,Informational,0.64,e.wilson,VDI-058,10.44.216.9,10.119.13.144,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00253,2026-01-20T03:39:34Z,AzureAD,Token.Anomaly,Informational,0.94,a.chen,Azure,172.28.2.181,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00254,2026-01-20T03:39:38Z,Okta,Password.Reset,Low,0.38,r.kim,O365,10.104.79.138,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00255,2026-01-20T03:40:29Z,Okta,MFA.Failed,Low,0.58,r.kim,CorpNet,10.169.83.188,,,Auth,Failure,MFA denied or timed out.,user,0
EVT-00256,2026-01-20T03:40:38Z,CloudTrail,S3.GetObject,Low,0.64,l.garcia,CorpNet,10.254.148.165,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00257,2026-01-20T03:42:09Z,Okta,MFA.Challenge,Low,0.69,r.kim,Azure,192.0.2.68,,,Auth,Success,MFA challenge initiated.,user,1
EVT-00258,2026-01-20T03:45:29Z,O365,SharePoint.Access,Low,0.52,a.chen,AWS,172.23.156.170,,office.com,Access,Success,Security-relevant event observed.,user,0
EVT-00259,2026-01-20T03:47:00Z,Proxy,Upload,Medium,0.67,b.harris,DC-016,172.20.214.52,192.0.2.227,microsoft.com,GET,Allowed,Upload via web proxy.,user,0
EVT-00260,2026-01-20T03:49:50Z,O365,SharePoint.Access,Informational,0.53,k.brown,CorpNet,10.81.216.88,,office.com,Access,Success,Security-relevant event observed.,user,0
EVT-00261,2026-01-20T03:53:44Z,EmailGateway,Phish.Detected,Informational,0.3,m.patel,MAIL-187,10.127.98.49,,outlook.com,Inbound,Delivered,Phishing email detected by gateway.,user,0
EVT-00262,2026-01-20T03:53:52Z,VPN,VPN.Connect,Low,0.76,svc-deploy,LAP-107,10.129.242.180,192.168.4.78,,Auth,Success,VPN session established.,service_account,0
EVT-00263,2026-01-20T03:56:12Z,DNS,DGA.Suspected,Informational,0.29,k.brown,MAIL-185,10.190.61.129,,cdn.microsoft.com,Query,NXDOMAIN,Security-relevant event observed.,user,0
EVT-00264,2026-01-20T03:59:42Z,Firewall,Connection.Allowed,Informational,0.59,p.singh,O365,172.19.23.230,198.51.100.127,,Network,Allowed,Connection allowed by firewall policy.,user,0
EVT-00265,2026-01-20T04:01:07Z,Okta,MFA.Failed,Informational,0.68,d.miller,O365,192.168.89.161,,,Auth,Failure,MFA denied or timed out.,user,0
EVT-00266,2026-01-20T04:02:51Z,VPN,VPN.Failed,Medium,0.68,svc-backup,API-031,192.168.201.136,10.1.11.251,,Auth,Failure,VPN authentication failed.,service_account,0
EVT-00267,2026-01-20T04:03:06Z,AzureAD,Token.Anomaly,Informational,0.61,l.garcia,AWS,10.149.41.122,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00268,2026-01-20T04:03:43Z,EmailGateway,Outbound.Spam,Critical,0.57,m.patel,DC-023,172.19.206.222,,vendor.example,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00269,2026-01-20T04:11:43Z,VPN,VPN.Failed,Low,0.45,e.wilson,SRV-180,10.240.113.52,,,Auth,Failure,VPN authentication failed.,user,0
EVT-00270,2026-01-20T04:13:51Z,DNS,DGA.Suspected,Informational,0.49,t.jones,SRV-076,10.132.93.243,,microsoft.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00271,2026-01-20T04:17:06Z,Firewall,PortScan.Detected,Medium,0.6,f.robinson,O365,198.51.100.166,198.51.100.163,,Network,Blocked,Potential port scanning activity detected.,user,1
EVT-00272,2026-01-20T04:18:37Z,DNS,NXDOMAIN,Informational,0.46,i.clark,DB-161,172.18.47.104,,okta.com,Query,NXDOMAIN,Security-relevant event observed.,user,0
EVT-00273,2026-01-20T04:23:40Z,VPN,VPN.Connect,Informational,0.42,svc-backup,WS-080,198.51.100.149,,,Auth,Success,VPN session established.,service_account,1
EVT-00274,2026-01-20T04:25:31Z,CloudTrail,IAM.PolicyChange,Low,0.62,s.nguyen,CorpNet,10.225.233.1,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00275,2026-01-20T04:28:02Z,EDR,Process.Suspicious,Informational,0.78,r.kim,DB-191,172.24.213.155,,,Endpoint,Observed,Suspicious process behavior observed.,user,0
EVT-00276,2026-01-20T04:30:08Z,EmailGateway,URL.Rewrite,Informational,0.37,o.martin,API-193,172.16.116.58,,gmail.com,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00277,2026-01-20T04:31:04Z,EDR,Malware.Detected,Low,0.5,n.davis,VDI-046,192.0.2.133,,,Endpoint,Detected,Malware detection on endpoint.,user,1
EVT-00278,2026-01-20T04:31:06Z,AzureAD,Token.Anomaly,Low,0.42,p.singh,CorpNet,192.168.77.89,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00279,2026-01-20T04:31:42Z,EmailGateway,URL.Rewrite,Medium,0.66,k.brown,WS-004,10.252.76.244,192.168.38.186,proton.me,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00280,2026-01-20T04:32:07Z,VPN,VPN.Disconnect,Informational,0.32,t.jones,DB-024,172.18.190.171,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00281,2026-01-20T04:36:41Z,Firewall,DataTransfer.Large,Low,0.54,s.nguyen,CorpNet,172.25.60.164,203.0.113.95,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00282,2026-01-20T04:40:17Z,VPN,VPN.NewDevice,Informational,0.7,v.ali,WS-021,10.76.216.29,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00283,2026-01-20T04:41:59Z,DNS,HighEntropy.Subdomain,High,0.2,a.chen,API-146,192.168.96.215,,cdn.okta.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00284,2026-01-20T04:45:13Z,AzureAD,Token.Anomaly,Low,0.4,svc-ci,Azure,192.168.197.39,,,Auth,Success,Security-relevant event observed.,service_account,0
EVT-00285,2026-01-20T04:45:45Z,Proxy,Upload,Informational,0.6,s.nguyen,SRV-012,203.0.113.127,198.51.100.25,github.com,GET,Allowed,Upload via web proxy.,user,1
EVT-00286,2026-01-20T04:46:31Z,EDR,Exploit.Prevention,Low,0.58,b.harris,VDI-111,10.211.173.212,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00287,2026-01-20T04:46:34Z,EmailGateway,DMARC.Fail,Critical,0.51,j.smith,SRV-137,198.51.100.119,,vendor.example,Inbound,Delivered,Security-relevant event observed.,user,1
EVT-00288,2026-01-20T04:48:41Z,CloudTrail,IAM.PolicyChange,Informational,0.66,i.clark,AWS,192.0.2.48,,,Cloud,Success,Security-relevant event observed.,user,1
EVT-00289,2026-01-20T04:48:59Z,Okta,Password.Reset,Low,0.6,d.miller,CorpNet,10.37.231.45,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00290,2026-01-20T04:54:14Z,EmailGateway,URL.Rewrite,High,0.27,b.harris,MAIL-165,198.51.100.172,,vendor.example,Inbound,Delivered,Security-relevant event observed.,user,1
EVT-00291,2026-01-20T04:59:22Z,Proxy,Download,Informational,0.47,c.taylor,API-139,10.118.196.178,198.51.100.181,zoom.us,GET,Allowed,File downloaded via web proxy.,user,0
EVT-00292,2026-01-20T05:03:32Z,Okta,Policy.Change,High,0.5,sec-admin,Azure,192.168.80.105,,,Auth,Success,Security-relevant event observed.,privileged_user,0
EVT-00293,2026-01-20T05:12:14Z,VPN,VPN.Connect,Informational,0.41,f.robinson,DC-068,192.0.2.148,,,Auth,Success,VPN session established.,user,1
EVT-00294,2026-01-20T05:13:52Z,VPN,VPN.Disconnect,Medium,0.33,f.robinson,MAIL-071,10.38.207.94,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00295,2026-01-20T05:20:22Z,CloudTrail,AccessKey.Created,Informational,0.64,r.kim,CorpNet,192.168.30.135,10.24.3.106,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00296,2026-01-20T05:24:34Z,Proxy,Download,Informational,0.68,i.clark,VDI-045,192.168.207.212,203.0.113.132,zoom.us,GET,Allowed,File downloaded via web proxy.,user,0
EVT-00297,2026-01-20T05:26:50Z,O365,Mailbox.ForwardingSet,Critical,0.4,t.jones,CorpNet,198.51.100.240,,,Access,Success,Security-relevant event observed.,user,1
EVT-00298,2026-01-20T05:27:48Z,AzureAD,Token.Anomaly,Medium,0.57,p.singh,CorpNet,198.51.100.188,,,Auth,Success,Security-relevant event observed.,user,1
EVT-00299,2026-01-20T05:32:52Z,VPN,VPN.NewDevice,Low,0.61,c.taylor,API-067,172.19.240.14,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00300,2026-01-20T05:34:27Z,EDR,USB.Mount,High,0.52,p.singh,LAP-116,192.168.22.187,,,Endpoint,Observed,Security-relevant event observed.,user,0
